Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.097808	0	0	4	LastDelay	0.057808	57808	1	2
0.097808	0	0	4	FullDelay	0.057808	57808	1	2
0.118904	0	0	9	LastDelay	0.028904	28904	1	1
0.118904	0	0	9	FullDelay	0.028904	28904	1	1
0.12788	0	0	1	LastDelay	0.11788	117880	1	4
0.12788	0	0	1	FullDelay	0.11788	117880	1	4
0.135616	0	0	2	LastDelay	0.115616	115616	1	4
0.135616	0	0	2	FullDelay	0.115616	115616	1	4
0.136456	0	0	10	LastDelay	0.036456	36456	1	1
0.136456	0	0	10	FullDelay	0.036456	36456	1	1
0.145032	0	0	11	LastDelay	0.035032	35032	1	1
0.145032	0	0	11	FullDelay	0.035032	35032	1	1
0.165616	0	0	5	LastDelay	0.115616	115616	1	4
0.165616	0	0	5	FullDelay	0.115616	115616	1	4
0.175616	0	0	6	LastDelay	0.115616	115616	1	4
0.175616	0	0	6	FullDelay	0.115616	115616	1	4
0.187808	0	0	13	LastDelay	0.057808	57808	1	2
0.187808	0	0	13	FullDelay	0.057808	57808	1	2
0.196384	0	0	8	LastDelay	0.116384	116384	1	4
0.196384	0	0	8	FullDelay	0.116384	116384	1	4
0.218904	0	0	19	LastDelay	0.028904	28904	1	1
0.218904	0	0	19	FullDelay	0.028904	28904	1	1
0.219256	0	0	0	LastDelay	0.219256	219256	1	4
0.219256	0	0	0	FullDelay	0.219256	219256	1	4
0.23492	0	0	3	LastDelay	0.20492	204920	1	4
0.23492	0	0	3	FullDelay	0.20492	204920	1	4
0.238904	0	0	21	LastDelay	0.028904	28904	1	1
0.238904	0	0	21	FullDelay	0.028904	28904	1	1
0.256712	0	0	17	LastDelay	0.086712	86712	1	3
0.256712	0	0	17	FullDelay	0.086712	86712	1	3
0.278904	0	0	25	LastDelay	0.028904	28904	1	1
0.278904	0	0	25	FullDelay	0.028904	28904	1	1
0.291632	0	0	7	LastDelay	0.221632	221632	1	4
0.291632	0	0	7	FullDelay	0.221632	221632	1	4
0.315616	0	0	20	LastDelay	0.115616	115616	1	4
0.315616	0	0	20	FullDelay	0.115616	115616	1	4
0.318904	0	0	29	LastDelay	0.028904	28904	1	1
0.318904	0	0	29	FullDelay	0.028904	28904	1	1
0.339256	0	0	12	LastDelay	0.219256	219256	1	4
0.339256	0	0	12	FullDelay	0.219256	219256	1	4
0.356712	0	0	27	LastDelay	0.086712	86712	1	3
0.356712	0	0	27	FullDelay	0.086712	86712	1	3
0.365288	0	0	14	LastDelay	0.225288	225288	1	4
0.365288	0	0	14	FullDelay	0.225288	225288	1	4
0.3774	0	0	15	LastDelay	0.2274	227400	1	4
0.3774	0	0	15	FullDelay	0.2274	227400	1	4
0.385976	0	0	16	LastDelay	0.225976	225976	1	4
0.385976	0	0	16	FullDelay	0.225976	225976	1	4
0.394952	0	0	33	LastDelay	0.064952	64952	1	2
