Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
0.5	0	1	internal://	InInterests	0	0	0	0
0.5	0	1	internal://	OutInterests	0	0	0	0
0.5	0	1	internal://	InData	0	0	0	0
0.5	0	1	internal://	OutData	0	0	0	0
0.5	0	1	internal://	InNacks	0	0	0	0
0.5	0	1	internal://	OutNacks	0	0	0	0
0.5	0	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	0	1	internal://	InTimedOutInterests	0	0	0	0
0.5	0	1	internal://	OutSatisfiedInterests	3.2	0	2	0
0.5	0	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	0	256	netdev://[00:00:00:00:00:01]	InInterests	3.2	0	2	0
0.5	0	256	netdev://[00:00:00:00:00:01]	OutInterests	33.6	1.05	21	0.65625
0.5	0	256	netdev://[00:00:00:00:00:01]	InData	12.8	13.2375	8	8.27344
0.5	0	256	netdev://[00:00:00:00:00:01]	OutData	0	0	0	0
0.5	0	256	netdev://[00:00:00:00:00:01]	InNacks	0	0	0	0
0.5	0	256	netdev://[00:00:00:00:00:01]	OutNacks	3.2	0.1	2	0.0625
0.5	0	256	netdev://[00:00:00:00:00:01]	InSatisfiedInterests	0	0	0	0
0.5	0	256	netdev://[00:00:00:00:00:01]	InTimedOutInterests	0	0	0	0
0.5	0	256	netdev://[00:00:00:00:00:01]	OutSatisfiedInterests	12.8	0	8	0
0.5	0	256	netdev://[00:00:00:00:00:01]	OutTimedOutInterests	0	0	0	0
0.5	0	257	netdev://[00:00:00:00:00:05]	InInterests	1.6	0	1	0
0.5	0	257	netdev://[00:00:00:00:00:05]	OutInterests	46.4	1.45	29	0.90625
0.5	0	257	netdev://[00:00:00:00:00:05]	InData	25.6	26.475	16	16.5469
0.5	0	257	netdev://[00:00:00:00:00:05]	OutData	0	0	0	0
0.5	0	257	netdev://[00:00:00:00:00:05]	InNacks	0	0	0	0
0.5	0	257	netdev://[00:00:00:00:00:05]	OutNacks	1.6	0.05	1	0.03125
0.5	0	257	netdev://[00:00:00:00:00:05]	InSatisfiedInterests	0	0	0	0
0.5	0	257	netdev://[00:00:00:00:00:05]	InTimedOutInterests	0	0	0	0
0.5	0	257	netdev://[00:00:00:00:00:05]	OutSatisfiedInterests	25.6	0	16	0
0.5	0	257	netdev://[00:00:00:00:00:05]	OutTimedOutInterests	0	0	0	0
0.5	0	258	internal://	InInterests	0	0	0	0
0.5	0	258	internal://	OutInterests	0	0	0	0
0.5	0	258	internal://	InData	0	0	0	0
0.5	0	258	internal://	OutData	0	0	0	0
0.5	0	258	internal://	InNacks	0	0	0	0
0.5	0	258	internal://	OutNacks	0	0	0	0
0.5	0	258	internal://	InSatisfiedInterests	3.2	0	2	0
0.5	0	258	internal://	InTimedOutInterests	0	0	0	0
0.5	0	258	internal://	OutSatisfiedInterests	0	0	0	0
0.5	0	258	internal://	OutTimedOutInterests	0	0	0	0
0.5	0	259	appFace://	InInterests	80	2.5	50	1.5625
0.5	0	259	appFace://	OutInterests	0	0	0	0
0.5	0	259	appFace://	InData	0	0	0	0
0.5	0	259	appFace://	OutData	38.4	39.7125	24	24.8203
0.5	0	259	appFace://	InNacks	0	0	0	0
0.5	0	259	appFace://	OutNacks	0	0	0	0
0.5	0	259	appFace://	InSatisfiedInterests	38.4	0	24	0
0.5	0	259	appFace://	InTimedOutInterests	0	0	0	0
0.5	0	259	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	0	259	appFace://	OutTimedOutInterests	0	0	0	0
0.5	0	-1	all	SatisfiedInterests	43.2	0	27	0
0.5	0	-1	all	TimedOutInterests	0	0	0	0
0.5	1	1	internal://	InInterests	0	0	0	0
0.5	1	1	internal://	OutInterests	0	0	0	0
0.5	1	1	internal://	InData	0	0	0	0
0.5	1	1	internal://	OutData	0	0	0	0
0.5	1	1	internal://	InNacks	0	0	0	0
0.5	1	1	internal://	OutNacks	0	0	0	0
0.5	1	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	1	1	internal://	InTimedOutInterests	0	0	0	0
0.5	1	1	internal://	OutSatisfiedInterests	3.2	0	2	0
0.5	1	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	1	256	netdev://[00:00:00:00:00:02]	InInterests	32	1	20	0.625
0.5	1	256	netdev://[00:00:00:00:00:02]	OutInterests	3.2	0.1	2	0.0625
0.5	1	256	netdev://[00:00:00:00:00:02]	InData	0	0	0	0
0.5	1	256	netdev://[00:00:00:00:00:02]	OutData	12.8	13.2375	8	8.27344
0.5	1	256	netdev://[00:00:00:00:00:02]	InNacks	3.2	0.1	2	0.0625
0.5	1	256	netdev://[00:00:00:00:00:02]	OutNacks	0	0	0	0
0.5	1	256	netdev://[00:00:00:00:00:02]	InSatisfiedInterests	12.8	0	8	0
0.5	1	256	netdev://[00:00:00:00:00:02]	InTimedOutInterests	0	0	0	0
0.5	1	256	netdev://[00:00:00:00:00:02]	OutSatisfiedInterests	0	0	0	0
0.5	1	256	netdev://[00:00:00:00:00:02]	OutTimedOutInterests	0	0	0	0
0.5	1	257	netdev://[00:00:00:00:00:03]	InInterests	3.2	0.1	2	0.0625
0.5	1	257	netdev://[00:00:00:00:00:03]	OutInterests	14.4	0.45	9	0.28125
0.5	1	257	netdev://[00:00:00:00:00:03]	InData	6.4	6.61875	4	4.13672
0.5	1	257	netdev://[00:00:00:00:00:03]	OutData	0	0	0	0
0.5	1	257	netdev://[00:00:00:00:00:03]	InNacks	0	0	0	0
0.5	1	257	netdev://[00:00:00:00:00:03]	OutNacks	3.2	0.1	2	0.0625
0.5	1	257	netdev://[00:00:00:00:00:03]	InSatisfiedInterests	0	0	0	0
0.5	1	257	netdev://[00:00:00:00:00:03]	InTimedOutInterests	0	0	0	0
0.5	1	257	netdev://[00:00:00:00:00:03]	OutSatisfiedInterests	6.4	0	4	0
0.5	1	257	netdev://[00:00:00:00:00:03]	OutTimedOutInterests	0	0	0	0
0.5	1	258	netdev://[00:00:00:00:00:09]	InInterests	4.8	0.15	3	0.09375
0.5	1	258	netdev://[00:00:00:00:00:09]	OutInterests	17.6	0.55	11	0.34375
0.5	1	258	netdev://[00:00:00:00:00:09]	InData	6.4	6.61875	4	4.13672
0.5	1	258	netdev://[00:00:00:00:00:09]	OutData	0	0	0	0
0.5	1	258	netdev://[00:00:00:00:00:09]	InNacks	0	0	0	0
0.5	1	258	netdev://[00:00:00:00:00:09]	OutNacks	1.6	0.05	1	0.03125
0.5	1	258	netdev://[00:00:00:00:00:09]	InSatisfiedInterests	0	0	0	0
0.5	1	258	netdev://[00:00:00:00:00:09]	InTimedOutInterests	0	0	0	0
0.5	1	258	netdev://[00:00:00:00:00:09]	OutSatisfiedInterests	8	0	5	0
0.5	1	258	netdev://[00:00:00:00:00:09]	OutTimedOutInterests	0	0	0	0
0.5	1	259	internal://	InInterests	0	0	0	0
0.5	1	259	internal://	OutInterests	0	0	0	0
0.5	1	259	internal://	InData	0	0	0	0
0.5	1	259	internal://	OutData	0	0	0	0
0.5	1	259	internal://	InNacks	0	0	0	0
0.5	1	259	internal://	OutNacks	0	0	0	0
0.5	1	259	internal://	InSatisfiedInterests	3.2	0	2	0
0.5	1	259	internal://	InTimedOutInterests	0	0	0	0
0.5	1	259	internal://	OutSatisfiedInterests	0	0	0	0
0.5	1	259	internal://	OutTimedOutInterests	0	0	0	0
0.5	1	-1	all	SatisfiedInterests	16	0	10	0
0.5	1	-1	all	TimedOutInterests	0	0	0	0
0.5	2	1	internal://	InInterests	0	0	0	0
0.5	2	1	internal://	OutInterests	0	0	0	0
0.5	2	1	internal://	InData	0	0	0	0
0.5	2	1	internal://	OutData	0	0	0	0
0.5	2	1	internal://	InNacks	0	0	0	0
0.5	2	1	internal://	OutNacks	0	0	0	0
0.5	2	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	2	1	internal://	InTimedOutInterests	0	0	0	0
0.5	2	1	internal://	OutSatisfiedInterests	3.2	0	2	0
0.5	2	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	2	256	netdev://[00:00:00:00:00:04]	InInterests	12.8	0.2	8	0.125
0.5	2	256	netdev://[00:00:00:00:00:04]	OutInterests	3.2	0.1	2	0.0625
0.5	2	256	netdev://[00:00:00:00:00:04]	InData	0	0	0	0
0.5	2	256	netdev://[00:00:00:00:00:04]	OutData	8	8.27344	5	5.1709
0.5	2	256	netdev://[00:00:00:00:00:04]	InNacks	3.2	0.1	2	0.0625
0.5	2	256	netdev://[00:00:00:00:00:04]	OutNacks	0	0	0	0
